5,2,69
5,2,42
5,2,80
5,2,4
5,2,10
5,2,45
5,2,32
5,2,22
5,2,2
5,2,25
5,2,99
5,2,24
5,2,18
5,2,26
5,2,25
5,2,14
5,2,10
5,2,27
5,2,17
5,2,50
5,2,17
5,2,90
5,2,166
5,2,18
5,2,55
5,2,21
5,2,64
5,2,48
5,2,65
5,2,51
5,2,30
5,2,53
5,2,31
5,2,28
5,2,25
5,2,44
5,2,50
5,2,36
5,2,74
5,2,52
5,2,20
5,2,34
5,2,8
5,2,127
5,2,109
5,2,70
5,2,58
5,2,16
5,2,42
5,2,34
5,2,6
5,2,6
5,2,27
5,2,46
5,2,16
5,2,26
5,2,17
5,2,40
5,2,55
5,2,16
5,2,31
5,2,61
5,2,10
5,2,65
5,2,38
5,2,49
5,2,14
5,2,119
5,2,74
5,2,8
5,2,71
5,2,98
5,2,25
5,2,5
5,2,84
5,2,42
5,2,23
5,2,61
5,2,69
5,2,124
5,2,55
5,2,64
5,2,28
5,2,92
5,2,111
5,2,71
5,2,51
5,2,35
5,2,32
5,2,86
5,2,89
5,2,1
5,2,71
5,2,40
5,2,98
5,2,42
5,2,46
5,2,11
5,2,5
5,2,36
5,3,60
5,3,116
5,3,492
5,3,144
5,3,358
5,3,1441
5,3,194
5,3,388
5,3,313
5,3,591
5,3,187
5,3,770
5,3,75
5,3,582
5,3,219
5,3,379
5,3,340
5,3,926
5,3,635
5,3,138
5,3,322
5,3,318
5,3,145
5,3,180
5,3,24
5,3,407
5,3,126
5,3,12
5,3,353
5,3,249
5,3,67
5,3,343
5,3,697
5,3,186
5,3,915
5,3,952
5,3,33
5,3,78
5,3,416
5,3,995
5,3,1126
5,3,68
5,3,755
5,3,59
5,3,26
5,3,1
5,3,1
5,3,123
5,3,150
5,3,75
5,3,524
5,3,138
5,3,287
5,3,573
5,3,203
5,3,1514
5,3,793
5,3,460
5,3,85
5,3,712
5,3,106
5,3,54
5,3,199
5,3,66
5,3,392
5,3,39
5,3,723
5,3,49
5,3,293
5,3,512
5,3,104
5,3,90
5,3,432
5,3,614
5,3,1675
5,3,668
5,3,497
5,3,116
5,3,37
5,3,423
5,3,270
5,3,102
5,3,552
5,3,880
5,3,28
5,3,111
5,3,239
5,3,127
5,3,153
5,3,14
5,3,66
5,3,372
5,3,420
5,3,239
5,3,28
5,4,128
5,3,516
5,3,336
5,4,367
5,3,1204
5,4,392
5,4,682
5,4,1672
5,4,2138
5,3,330
5,4,235
5,4,1787
5,4,426
5,4,810
5,3,2265
5,4,143
5,4,196
5,4,82
5,4,379
5,4,130
5,4,646
5,4,1716
5,4,1850
5,4,644
5,4,830
5,4,501
5,4,1926
5,4,453
5,4,1130
5,4,711
5,4,1148
5,4,165
5,4,405
5,4,297
5,4,1919
5,4,993
5,4,368
5,4,677
5,4,470
5,4,3842
5,4,1139
5,4,2040
5,4,1650
5,4,152
5,4,1002
5,4,1683
5,4,247
5,4,880
5,4,2864
5,4,4819
5,4,1534
5,4,498
5,4,5584
5,4,2136
5,4,685
5,4,1444
5,4,105
5,4,641
5,4,266
5,4,3620
5,4,334
5,4,412
5,4,1111
5,4,1309
5,4,1821
5,4,1436
5,4,7032
5,4,145
5,4,1368
5,4,2156
5,4,3612
5,4,634
5,4,630
5,4,3029
5,4,1301
5,4,1344
5,4,1258
5,4,438
5,4,1236
5,4,2429
5,4,1793
5,4,1850
5,4,190
5,4,1261
5,4,4213
5,5,52
5,4,1670
5,4,1016
5,4,3064
5,4,1311
5,4,2898
5,5,175
5,4,5388
5,4,2073
5,4,2953
5,4,4196
5,4,4256
5,4,2554
5,4,1546
5,4,2447
5,5,627
5,5,899
5,5,997
5,5,1088
5,4,3443
5,5,1821
5,4,7670
5,4,2897
5,5,74
5,5,813
5,5,737
5,5,328
5,5,45
5,5,4337
5,5,2237
5,5,1516
5,5,508
5,5,2087
5,4,5651
5,4,3801
5,5,1190
5,4,3788
5,5,2809
5,5,2384
5,5,142
5,5,3296
5,4,4492
5,5,1611
5,5,655
5,5,3
5,5,527
5,5,874
5,5,3964
5,5,3345
5,5,2372
5,5,1319
5,5,3227
5,5,2923
5,5,372
5,5,3097
5,5,2643
5,5,1741
5,5,4985
5,5,737
5,5,2856
5,5,4821
5,5,4277
5,5,5490
5,5,7588
5,5,6294
5,5,1931
5,5,7066
5,5,686
5,5,620
5,5,3225
5,5,8961
5,5,484
5,5,7262
6,2,9
5,5,456
6,2,12
5,5,537
6,2,1
6,2,180
6,2,57
5,5,2419
6,2,144
6,2,39
6,2,122
6,2,10
6,2,35
6,2,12
5,5,2206
6,2,48
6,2,65
5,5,1442
6,2,38
6,2,7
6,2,2
5,5,1404
6,2,31
6,2,58
5,5,897
6,2,56
6,2,202
6,2,121
5,5,2093
6,2,206
5,5,8816
6,2,18
6,2,22
5,5,2778
6,2,165
5,5,6843
6,2,108
5,5,7730
6,2,52
5,5,4532
6,2,4
6,2,33
5,5,7004
5,5,3265
6,2,81
6,2,109
6,2,54
6,2,103
6,2,89
5,5,10403
5,5,5245
6,2,11
6,2,170
6,2,241
6,2,1
5,5,9899
6,2,128
6,2,232
5,5,6366
6,2,30
6,2,168
6,2,107
6,2,229
6,2,91
6,2,39
6,2,61
6,2,179
6,2,179
6,2,3
6,2,11
5,5,4938
6,2,83
6,2,211
5,5,4593
6,2,20
5,5,3312
5,5,4105
6,2,108
6,2,24
6,2,17
6,2,40
6,2,160
6,2,243
6,2,56
6,2,133
6,2,11
5,5,5852
6,2,23
6,2,165
6,2,17
6,2,27
6,2,90
5,5,6095
5,5,12906
6,2,63
6,2,21
6,2,17
